file_id2,id,article_id,date,url,lynching,attempted_y_n,similar_coverage_y_n,notes,reviewed_by_te,notes_from_te,rsw_questions,sn,newspaper_name,year,month,day,page,edition,mod_id,newspaper_state,unsure4,unsure1,unsure2,random,source,file_id_txt
NA,15955,NA,1805-01-14,https://articleextractor.org/pages/15955/dlc_domestic_ver01/sn83045242/1805/01/14/ed-1/seq-3/0?user_id=10,Yes,,"Yes, 5","In a town, the poor inhabitants mobbed and hanged the governer",x,Mentions poor inhabitants hanging their governor but does not mention race or motives.,in the U.S? what state?,sn83045242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,students,NA.txt
NA,15958,NA,1805-01-19,https://articleextractor.org/pages/15958/vi_otters_ver02/sn84024710/1805/01/19/ed-1/seq-3/0?user_id=10,Yes,,"Yes, 5",Mob hanged governor,x,Mentions poor inhabitants hanging their governor but does not mention race or motives.,in the U.S? what state?,sn84024710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,students,NA.txt
NA,15954,NA,1805-02-01,https://articleextractor.org/pages/15954/wvu_hogan_ver01/sn85059525/1805/02/01/ed-1/seq-2/0?user_id=10,Yes,,"Yes, 5",Mob hanged governor,x,Mentions poor inhabitants hanging their governor but does not mention race or motives.,in the U.S? what state?,sn85059525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,students,NA.txt
NA,15943,NA,1835-07-31,https://articleextractor.org/pages/15943/arhi_elvis_ver01/sn87062070/1835/07/31/ed-1/seq-2/0?user_id=10,Yes,,,commitee of 13 respectable men was appointed in Madison county were hung.,x,"States 5 white men had been hung in Livingston. Mentions a court case where 2 members of the jury were """"hung"""" in their verdict.",,sn87062070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,students,NA.txt
NA,15943,NA,1835-08-01,https://articleextractor.org/pages/15941/wvu_queen_ver01/sn84026826/1835/08/01/ed-1/seq-2/0?user_id=10,Yes,,"Yes, 20",,x,5 men were hung by a mob in MS.,,sn84026826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,students,NA.txt
NA,15939,NA,1835-09-05,https://articleextractor.org/pages/15939/wvu_queen_ver01/sn84026826/1835/09/05/ed-1/seq-2/0?user_id=10,Yes,,,,x,"Under a """"Lynch Law"""" headline mentions the execution of two men from the Memphis Gazette.",,sn84026826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,students,NA.txt
NA,15937,NA,1835-09-05,https://articleextractor.org/pages/15937/wvu_queen_ver01/sn84026826/1835/09/05/ed-1/seq-3/0?user_id=10,Yes,,,"A hairdresser of Charleston, South Carolina",x,"Charleston, SC """"R.W. Carroll a hair dresser was lynched. ... His offence was dealing with, and receiving stolen goods from slaves, against which had repeatedly been warned""""",,sn84026826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,students,NA.txt
NA,8052,NA,1835-09-08,https://articleextractor.org/pages/8052/vi_naturals_ver01/sn84024735/1835/09/08/ed-1/seq-4/0?user_id=10,Yes,,,,x,"Person was hung in Clinton, LA",,sn84024735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,students,NA.txt
NA,15960,NA,1835-09-12,https://articleextractor.org/pages/15960/wvu_queen_ver01/sn84026826/1835/09/12/ed-1/seq-2/0?user_id=10,Yes,,,,x,"Mentions two people being sentenced to hang by citizens in St. Helena, LA. ",,sn84026826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,students,NA.txt
NA,15957,NA,1835-10-20,https://articleextractor.org/pages/15957/vi_armani_ver02/sn84024735/1835/10/20/ed-1/seq-2/0?user_id=10,Yes,,,,x,"-Mentions the lynching of 5 gamblers at Vicksburg without a trial.                                     -9 people 2 abolition preachers and seven negroes in Livingston, Mississippi. Newspaper published in 1835",,sn84024735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,students,NA.txt
NA,15956,NA,1835-10-20,https://articleextractor.org/pages/15956/vi_naturals_ver01/sn84024735/1835/10/20/ed-1/seq-2/0?user_id=10,Yes,,,,Duplicate newspaper as the one above,"-Mentions the lynching of 5 gamblers at Vicksburg without a trial.                                     -9 people 2 abolition preachers and seven negroes in Livingston, Mississippi. Newspaper published in 1835",,sn84024735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,students,NA.txt
NA,15945,NA,1835-10-22,https://articleextractor.org/pages/15945/vi_dartmoor_ver03/sn84024649/1835/10/22/ed-1/seq-1/0?user_id=10,Yes,,,,x,"-Mentions the lynching of 5 gamblers at Vicksburg without a trial.                                     -9 people 2 abolition preachers and seven negroes in Livingston, Mississippi. Newspaper published in 1835",,sn84024649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,students,NA.txt
NA,14154,NA,1836-11-09,https://articleextractor.org/pages/14154/mimtptc_alpena_ver01/sn83016620/1836/11/09/ed-1/seq-1/0?user_id=10,Yes,,,Murdered by a mob. He came into town on business near Chillicothe of Mr. Edward Weed,x,"Mr. Weed, an abolitionist left town, was followed by the mob. ...""""himself suspened a tree by a rope of bark until he was dead"""" happened near Chillicothe 1836","what town, state?",sn83016620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,students,NA.txt
NA,4999,NA,1851-05-10,https://articleextractor.org/pages/4999/dlc_laceflower_ver01/sn83030313/1851/06/03/ed-1/seq-1/0?user_id=10,Yes,,,"In the death certificates, they gave death dates for two people but did not describe what happened to them. Five men were also lynched for horse stealing.",x,Man informed newspaper that 5 men were hung at Beatties Ferry beyond Stockton for horse stealing.,,sn83030313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,students,NA.txt
NA,15878,NA,1851-06-03,https://articleextractor.org/pages/15878/dlc_alicanto_ver02/sn82014594/1851/06/07/ed-1/seq-3/0?user_id=10,Yes,,,El Paso lynching mentioned,x,"15 people were lynched in El Paso, Texas. Article published in 1851.",,sn82014594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,students,NA.txt
