file_id2,date,newspaper_name,article,newspaper_state,filename,attempted_y_n,similar_coverage_y_n,notes_from_te,sn,year,month,day,page,edition,mod_id,source,filepath,url
14213_0,1836-11-09,"Constantine republican (Constantine, Mi...)","It is very much to be hoped that there is utter falsehood or gross exaggeration at least, in the following report which we copy from the Ohio Atlas, published at Elyria in that State. If the details here given are indeed true, it manifests a state of society, most deplorable , to be sure. The truth is, this stu "" pendous system of violence and misrule, - denominated Lynch law, must be put down in this country, or our regular institutions will not only become a mockery and a bye- word of reproach throughout the world; but they . will very soon be undermined and destroy ed, our boasted"" free reduced at once to a mere ruffian system of confusion, bloodshed, and unmitigated anar. chy.-N. Y. Cour. and Enq. "" Reports are rife in this vicinity of the , murder, by a mob, near Chillicothe, of Mr. , Edward Weed, late of Lane Seminary, and since of Cummingsville. A gentleman of Marietta, in whom entire confidence may be placed, reports the following statement as having been made in the stage house at Wooster, by a Kentuckian travelling north in pursuit of slaves, and afterwards repeat ed by the same individual in the stage, viz: that there was a town gathering at Chillicothe on the same day of last week, when Mr. Weed arrived in town on some business; and being known as an abolitionist, some indignities were offered to him- such as shaving his horse, removing the wheels of his wagon,& c .; that Mr. Weed soon after left town, was followed by the mob, his wagon broken to pieces, his horse killed, and at length himself suspended to a tree by a rope of bark until he was dead. The Kentuckian stated that he was informed of the fact on his arrival at Chillicothe and went and saw the body of Mr. Weed.,",Michigan,14213_0.txt,,,"Mr. Weed, an abolitionist left town, was followed by the mob. ...""""himself suspened a tree by a rope of bark until he was dead"""" happened near Chillicothe 1836",sn83016620,1836,11,9,seq-1,ed-1,1,students,~/Code/hcij_lynching_phase_two/Storage_Older_Versions/latest_articles_aug23/14213_0.txt,https://articleextractor.org/pages/14213/mimtptc_alpena_ver01/sn83016620/1836/11/09/ed-1/seq-1/1
16741_0,1805-01-14,The national intelligencer and Washington advertiser (Washington City...),"Extract of a letter to a gentleman in New York, dated Cadiz, November 13. "" The news yeſterday from the in- terior of this country is of a very alarm ing nature. In many places the peo ple are in a state of infurrection. Want of bread has driven the lower claffes to grant extremity, and in confequence to media.feme fhocking outrages. In one town the poorer inhabitants have in a mob and hanged the governor. rifen""",District of Columbia,16741_0.txt,,"Yes, 5",Mentions poor inhabitants hanging their governor. Does not mention the location. Details are from a letter addressed to someone in NY written in 1805.,sn83045242,1805,1,14,seq-3,ed-1,1,students,~/Code/hcij_lynching_phase_two/Storage_Older_Versions/latest_articles_aug23/16741_0.txt,https://articleextractor.org/pages/16741/dlc_domestic_ver01/sn83045242/1805/01/14/ed-1/seq-3/1
16742_0,1805-01-19,"Virginia Argus (Richmond, Va.)","Extact of a letter to a gentleman in New York, dated Cadiz, November 13. "" The nets yesterday from the interior of this country is of a very alarming na ture. In many places the people are in a state of insurrection. Want of bread has driven the lower classes to great extremity , and in consequence to some shocking outrages. In one town the poorer inhabitants have risen in a mob and hanged the governor.",Virginia,16742_0.txt,,"Yes, 5",Mentions poor inhabitants hanging their governor. Does not mention the location. Details are from a letter addressed to someone in NY written in 1805.,sn84024710,1805,1,19,seq-3,ed-1,1,students,~/Code/hcij_lynching_phase_two/Storage_Older_Versions/latest_articles_aug23/16742_0.txt,https://articleextractor.org/pages/16742/vi_otters_ver02/sn84024710/1805/01/19/ed-1/seq-3/1
16744_0,1805-02-01,"Berkeley and Jefferson intelligencer (Martinsburg, Va...)","Extract of a letter to a gentleman in New- York, dated Gadiz, November 13. "" The news yesterday from the interior of this country is of a very alarming nature. In many places the people are in a state of insurrection.- Want of bread has driven the lower classes to great extremity, and in consequence, to some shocking outrages. In one town poorer inhabitants have risen in a the mob and hanged the governor.""",Virginia,16744_0.txt,,"Yes, 5",Mentions poor inhabitants hanging their governor. Does not mention the location. Details are from a letter addressed to someone in NY written in 1805.,sn85059525,1805,2,1,seq-2,ed-1,2,students,~/Code/hcij_lynching_phase_two/Storage_Older_Versions/latest_articles_aug23/16744_0.txt,https://articleextractor.org/pages/16744/wvu_hogan_ver01/sn85059525/1805/02/01/ed-1/seq-2/2
16745_0,1835-07-23,Lynchburg Virginian (Lynchburg [Va.]),"Attempted Murder and Riots. Robert R. Stewart, Esq. of Philadelphia, whilst residing at Trinidad, Cuba, as American consul, purchased a negro boy for six hundred dollars- a native of Af rica, of the Eboe tribe. Being about to leave Tri- regularly him, giving Juan, or Whan, the choice of coming with him to the U nited States, or of remaining behind; but apparently attached to the family, he preferred the former. On Friday, Whan ordered some new clothes to be resentme- ving that Mr. Stewart would pay for them to the amount of 35 dollars; but Mr. Stewart said that as he had several trunks of clothes, and upwards of$ 100 in money, that it was unreasonable to request it. Mr. S. however, was un willing to disappoint his domestic, and agreed to pay for a part of the clothes, which he selected- and here it was thought that the matter had ended. But on last Sunday, as Mr. Stewart was taken his afternoon's nap, Whan entered his room, and struck him two blows with an axe on the head, one of which mashed his hand,( with which it is supposed that his face was covered,) and left him as killed He then came down stairs, and quietly seated him self at the front door, and confessed what he had done, when he was arrested- which very soon hap- pened. He made no attempt to escape. It was believed that Mr. Stewart would certainly die -- but the opinion is now entertained that he may recover. The case, however, was doub ful, at the last accounts. In consequence, a choral attack was made on the colored people of the southern part of the city, ( out of its corporate limit), last Monday night, many houses being attacked with the fury of sav ages, and the blacks that were seized exceedingly abused- some of them so much so that they will hardly survive. A house was fired, and a battle took place between the firemen and the mob -- but after some terrific scenes, the former succeeded in quenching the flames. The mob then changed their scence of operations, and attacked other hou- ses and persons. At 2 o'clock, exhausted with their own violence, they dispersed, after having reigned about six hours from S P. M. on Monday, to 2 A. M. Tuesday. The mayor, with a strong body of the police, kept them out of his limits, but further had not power. They are said to have a mounted to 1,500 persons! They respected, how ever, the old men and women and children- but on all others, inflicted, without discrimination, the most horrible excesses. Some few of the blacks defended their property- and five shots were dis charged; but, generally, their great object was to keep out of the way, or conceal themselves. The riots continued on Tuesday night in Moy amensing; but no great damage was done. The people of color had generally left their homes and , fled to the parts adjacent- sleeping, or to sleep, in the open attempting[ Niles.",Virginia,16745_0.txt,,"Yes, 16","Mentions the hanging of two white men and seven negroes in Livingston, Mississippi 1835",sn84024649,1835,7,23,seq-2,ed-1,1,students,~/Code/hcij_lynching_phase_two/Storage_Older_Versions/latest_articles_aug23/16745_0.txt,https://articleextractor.org/pages/16745/vi_dartmoor_ver03/sn84024649/1835/07/23/ed-1/seq-2/1
16746_0,1835-07-31,"The Arkansas advocate (Little Rock, A....)","We have received by the Memphis Gazette, some further particulars respecting the state of things in Mississippi. The already crowd ed state of our columns precludes us from inserting the article entire. It seems that a committee of 13 respectable men was appoint ed in Madison county, by whose verdiet Cot ton and Saunders were hung. Cotton made a full confession. He was an accomplice of the celebrated Murel- who had been a mem ber in two grand councils with Cotton. The project embraced the whole slave region from Maryland to Louisiana- and contemplated destruction of the whites in all the slave the States, and the absolute conquest of the coun try. Five white men, altogether, have been hung in Livingston. Among the rest, RUEL BLAKE, who was to have been a General. A chap by the name of HUNTER, had been apprehended Committees are still in session in Madison and Clinton counties. We hope that their plans have not included Arkansas, but at all events it would be well for our citizens the Mississippi to keep a vigilant look out on.",Arkansas,16746_0.txt,,,"States 5 white men had been hung in Livingston. Mentions a court case where 2 members of the jury were """"hung"""" in their verdict.",sn87062070,1835,7,31,seq-2,ed-1,1,students,~/Code/hcij_lynching_phase_two/Storage_Older_Versions/latest_articles_aug23/16746_0.txt,https://articleextractor.org/pages/16746/arhi_elvis_ver01/sn87062070/1835/07/31/ed-1/seq-2/1
16747_0,1835-08-01,"South Branch intelligencer (Romney, Va. [W....)","LYNCH LAW .-- The following account of a summary execution of vindictive justice, scorning the law's delay, is from a late number of the New Orleans Adver natiser: NEW ORLEANS, July 11. Mob Justice.- Information was re. ceived from Vicksburg( in Mississip- ) yesterday, by the steamboat Scotstopping land, that a serious act of mobocracy took place on the 9th inst. in the town mentioned. It appears that a den of gamblers existed in that place, which had become obnoxious to the citizens. On the Fourth of July the gamblers were refused permission to participate in the celebration, whereupon, they became insolent, and notice was given to them by the citizens to leave the place. This they disregarded, and remained. Two of them, in consequence , were taken, and made to go through the ceremony of tarring and feathering, so well known& so often practised in the West. These two left the place, but the others, five in number , armed themselves, and made a fortress of their establishment, to which the citizens repaired, and, after having forced the doors, rushed in. Dr. Bod- ley, the first person who entered, re. ceived eleven balls through his body, and fell dead instantly. The death of the doctor excited the people to the highest degree of wrath; and, having seized the gamblers, they lost no time in hanging the whole five, who remained suspended twenty- four hours. Per haps justice was done them. It is reted ported that they had several times be fore escaped legal justice. Another account says- They post ed centries, and gave notice that any person who approached them for 24 hours would be served likewise. All the money which was of large amount was piled upon a table before the suspended bodies, and the committee paid it away to all who could prove they had lost money at the house. About twelve or fifteen persons in connection with the house, started for this city in haste to avoid a similar fate. These are the particulars as we have heard them- we shall make no comments upon so dreadful an occurrence, hoping the ac counts have been exaggerated. Since the above was in type we have heard that Dr. Bodley was murdered in the gaming house, after hav- won a considerable sum of money at the table, which was the original cause of this execution of summary justice, or Lynch Law as it is called. The persons executed were, Mr. North, who kept a tavern, Dutch Bill, his bar keeper, Mr. Samuel Smith, Mr. Cull- Mr. um, and",West Virginia,16747_0.txt,,"Yes, 20","5 gamblers were hung by a mob in Vicksburg, MS. Two letters to the editor mentions lynchings. One letter mentions a merchant being hung in Tyler County. The second mentions the execution of Robert D. Hoy for murdering Mrs. Smoot. ",sn84026826,1835,8,1,seq-2,ed-1,1,students,~/Code/hcij_lynching_phase_two/Storage_Older_Versions/latest_articles_aug23/16747_0.txt,https://articleextractor.org/pages/16747/wvu_queen_ver01/sn84026826/1835/08/01/ed-1/seq-2/1
16748_0,1835-09-05,"South Branch intelligencer (Romney, Va. [W....)","Lynch Law- Abolitionists,& c. The Memphis Gazette of the 8th ult. states, on the authority of a gen- tleman just from Vicksburgh, that two men, one named Urley, a notorious negro thief and counterfeiter, were summarily executed a few days before by the citizens. The other man whose name he had forgotten, belonged to a which has for sometime infested gang the neighborhood.",West Virginia,16748_0.txt,,,"Under a """"Lynch Law"""" headline mentions the execution of two men from the Memphis Gazette.",sn84026826,1835,9,5,seq-2,ed-1,1,students,~/Code/hcij_lynching_phase_two/Storage_Older_Versions/latest_articles_aug23/16748_0.txt,https://articleextractor.org/pages/16748/wvu_queen_ver01/sn84026826/1835/09/05/ed-1/seq-2/1
16751_0,1835-09-05,"South Branch intelligencer (Romney, Va. [W....)","R. W. Carroll, à hair dresser of Charleston S. C. was Lynched on the 21st ult. The mob seized him between 8 and 9 o'clock in the morning, gave him 20 lashes, a coat of tar and COTTON, from head to foot, then marched through several principal streets and lodged him in jail. The account states that respecta- ble citizens lent of presence,"" and all was"" orderly conducted !"" His offence was dealing with, and receiving stolen goods from slaves, a- gainst which he had repeatedly warned. been The New Orleans American of August 14th, says:"" We understand by a gentleman arrived yesterday from Baton Rouge, that forty or fifty negroes had been arrested, under a charge of be concerned in an intended insurrection. Several white men were engaged with the negroes. Their names are known and the militia are in pursuit of them. They are doubtless by this time arrested "" One of Murrel'e gang was hung at Clinton, La. on Tuesday last, under sentence Judge Lynch. He had 500 dol lars of of counterfeit notes upon him.",West Virginia,16751_0.txt,,,"Charleston, SC """"R.W. Carroll a hair dresser was lynched. ... His offence was dealing with, and receiving stolen goods from slaves, against which had repeatedly been warned""""",sn84026826,1835,9,5,seq-3,ed-1,3,students,~/Code/hcij_lynching_phase_two/Storage_Older_Versions/latest_articles_aug23/16751_0.txt,https://articleextractor.org/pages/16751/wvu_queen_ver01/sn84026826/1835/09/05/ed-1/seq-3/3
16753_0,1835-09-08,"Richmond enquirer (Richmond, Va.)","NEW ORLEANS, August 14, We understand by a gentleman who arrived yesterday from Baton Rouge, that forty or fifty negroes had been arrested, under a charge of being coneirned in an tended insurrection. Several white men were engaged in MORE LAW BREAKING- We are informed, from good authority, that two or three persons were seized in Mays. ville, two or three days ago, implicated in the abduction of some negroes, and were passed through the ordeal of ( the now omnipotent) Judge Lynch, to the great gratification of the citizens. Our informant states that the of fenders were most shockingly whipped [ Cincinnati. Whig, of 19th. with the negroes; their names are known and the militia are in pursuit of them -- they are doubtless by this time arrested. One of Murell's gang was hung at Clinton, La., on Tuesday last, under the sentence of Judge Lynch. He had five hundred dollars of counterfeit notes upon him [ True American..",Virginia,16753_0.txt,,,"Person was hung in Clinton, LA",sn84024735,1835,9,8,seq-4,ed-1,4,students,~/Code/hcij_lynching_phase_two/Storage_Older_Versions/latest_articles_aug23/16753_0.txt,https://articleextractor.org/pages/16753/vi_naturals_ver01/sn84024735/1835/09/08/ed-1/seq-4/4
