"","x1","status","year","month","day","name","alt_name_number_1","alt_name_number_2","alt_name_number_3","order","victims_race","victims_sex","victims_age","fips_lynch","lynch_county","lynch_state","fips_mob","mob_county","mob_state","method_of_death","accusation","accusation_code","mob_size","mob_size_code","appalachia","brundage_inventory","caldwell_de_lord","carrigan","carrigan_webb","chicago_tribune","comp_of_mob","creation","custody","daniel_williams_tuskegee","eji","horrific_torture","jones","modified","moore","naacp","newkirk","notable","notes","orr_klopfer","other","pfeifer","photo","place","post_mort_codes","post_mort_desc","problem_flag","resident_status","time_of_lynching","tolnay_beck","torture","torture_codes","verification","verified","wright","status_clean","decade"
"1",1,"Lynching",2020,2,23,"Ahmaud Marquez Arbery",NA,NA,NA,"1 of 1","Black","Male","25",13127,"Glynn","GA",13127,"Glynn","GA","Shot","Jogging in a white neighborhood and suspected of stealing building supplies","7","3",1,NA,"Brundage inventory covers the years 1880-1930",NA,NA,NA,"Chicago Tribune inventory covers the years 1882-1918",NA,"11/24/2021",NA,"Williams inventory covers the years 1882-1950","EJI inventory covers the years 1877-1950",0,"INAP","01/09/2022 06:12:15","INAP","NAACP Thirty Years of Lynching covers the years 1889-1918, with 1919 in appendix","INAP",NA,"The entry in Wikipedia is exhaustive. On 24 November 2021, Gregory McMichael, his son Travis, and William “Roddie” Bryan were convicted today of murder of Arbery and other charges by a jury of eleven white men and one black man. In January 2022, Gregory McMichael (66), Travis McMichael (35), and William Bryan (52) were sentenced to life in prison—Bryan was eligible for parole after 30 years but the others were not.","INAP","https://en.wikipedia.org/wiki/Murder_of_Ahmaud_Arbery","INAP",NA,"Satilla neighborhood, near Brunswick","0","None reported",NA,"No indication of being a stranger or marginalized",NA,"Original Tolnay-Beck inventory covers the years 1882-1930","None reported","0","Atlanta Constitution 5/1/2020, p. B1, B9 (Newspapers.com)

https://en.wikipedia.org/wiki/Murder_of_Ahmaud_Arbery","Yes","INAP","lynching","2020"
"2",2,"Possible lynching",2011,6,26,"James Craig Anderson",NA,NA,NA,"1 of 1","Black","Male","47-49",28049,"Hinds","MS",28121,"Rankin","MS","Beaten and run over by a truck","Race hatred","10","7",1,NA,"INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918",NA,"06/27/2012",NA,"Williams inventory covers the years 1882-1964","EJI inventory covers the years 1877-1950",1,"INAP","04/29/2020 10:23:05","INAP",NA,"INAP",NA,"Daryl Dedmon, 18, and six other young white men from Rankin Co. drove to Jackson from the suburbs to “fuck with some niggers” on 26 June. They found James Craig Anderson, black, 47-49, in a motel parking lot, beat him, and then Dedmon drove his truck over Anderson, killing him. In 2012 Dedmon was sentenced to two life terms in prison.

Note: since there was seven in the mob this is a possible lynching even though only one person was convicted of killing him.","INAP",NA,"INAP",NA,"Jackson","0","None reported",NA,"No indication of being a stranger or marginalized",NA,"Original Tolnay-Beck inventory covers the years 1882-1930","Beaten","1","“Murder of James Craig Anderson,” http://en.wikipedia.org/wiki/Murder_of_James_Craig_Anderson","Yes","INAP","possible lynching","2010"
"3",3,"Possible lynching",2003,8,17,"Kareem Cowan",NA,NA,NA,"1 of 1","Black","Male","20",13089,"DeKalb","GA",13089,"DeKalb","GA","Beaten and set on fire","Retribution","17","8",1,NA,"Brundage inventory covers the years 1880-1930","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918","Black","05/13/2011",NA,"Williams inventory covers the years 1882-1950","EJI inventory covers the years 1877-1950",2,"INAP","04/29/2020 10:22:10","INAP",NA,"INAP",NA,"According to various reports in the Journal-Constitution, Kareem Cowan (a college student), black, age 20, was lured outside of his house by his girlfriend, abducted, beaten, had gasoline poured on his ""privates"" and set on fire, killing him—somewhere on Glendale Court, near Decatur. His body was dumped behind Columbia Elementary school in south DeKalb Co. On 15 July 2004, a jury convicted one of his attackers of murder. Previously three convicted of murder and one of aggravated assault. A total of 8 black men and women were charged with either murder or complicity.","INAP",NA,"INAP",NA,"Glendale Court, Near Decatur","0","None reported",NA,"No indication of being a stranger or marginalized. A college student and local resident.",NA,"Original Tolnay-Beck inventory covers the years 1882-1930","Burning his “privates”","6","Atlanta Journal-Constitution 8/22/2003, p. 4C, 8C           
Atlanta Journal-Constitution 8/23/2003, p. 3E
Atlanta Journal-Constitution 3/17/2004, p. 3D
Atlanta Journal-Constitution 4/16/2004, p. 12D
Atlanta Journal-Constitution 4/20/2004, p. 3B
Atlanta Journal-Constitution 7/16/2004, p. 1A, 10A","Yes","INAP","possible lynching","2000"
"4",4,"Lynching",1998,6,7,"James Byrd Jr.",NA,NA,NA,"1 of 1","Black","Male","49",48241,"Jasper","TX",48241,"Jasper","TX","Trauma","Race hatred","10","3",1,NA,"INAP","Caldwell-DeLord inventory does not include victims after 1942","Carrigan inventory does not include victims after 1922","Carrigan-Webb inventory excludes non-Mexicans and those of non-Mexican descent","Chicago Tribune inventory covers the years 1882-1918","Ku klux","04/29/2019",NA,"Not in Williams inventory","EJI inventory does not include victims after 1944",1,"INAP","04/29/2020 10:23:05","INAP","Not in NAACP inventory","INAP",NA,"From the Messenger, “Jasper (AP)—District Attorney Guy James Gray says the brutal death of a a black man who was chained to a pickup truck and dragged appears to be a random hate crime. Gay said Monday night that James Byrd Jr., 49, was chained to a pickup [truck] and dragged to death after he was seen hitchhiking Saturday [7th] night. ... Phil Denney, the county’s death investigator, said preliminary autopsy results indicate Byrd died from multiple traumas to his head and body, injuries which were inflicted as he was yanked along behind the truck. ... On Sunday morning, his body was discovered in the Huff Creek area, 10 miles away from his apartment.” According to the American-Statesman, “Jasper.—Three white men suspected of having ties to the Ku Klux Klan chained a black hitchhiker to the back of a pickup truck and dragged him to his death, authorities said Tuesday. James Byrd, Jr.’s head, neck and right arm were found about a mile from his mangled torso outside of this East Texas town. A wrench with the name of one of the suspects on it was found near the body. Byrd had been dragged about two miles. ... Lawrence Russell Brewer, 31, Shawn Allen Berry, 23, and John William King, 23, were charged with murder and jailed without bail.”

Note: this lynching is well covered in the Texas and out-of-state newspapers. Lawrence Russell Brewer and John William King were convicted and sentenced to death—Shawn Allen Berry was sentenced to life in prison.","INAP","LynchinginTexas.org inventory covers the years 1882-1936","INAP",NA,"Near Jasper","0","None reported",NA,"No indication of being a stranger or marginalized","Night","Original Tolnay-Beck inventory did not include Texas","Dragged","5","Marshall News Messenger 6/9/1998, p. 5 (Newspapers.com)
Austin American-Statesman 6/10/1998, p. 1 (Newspapers.com)","Yes","INAP","lynching","1990"
"5",5,"Lynching",1981,3,21,"Michael Donald",NA,NA,NA,"1 of 1","Black","Male","19",1097,"Mobile","AL",1097,"Mobile","AL","Strangled and throat cut","Race hatred","10","3-4",1,NA,"INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918","Ku klux","06/24/2020",NA,"Williams inventory covers the years 1882-1950","EJI inventory covers the years 1877-1950",0,"INAP","09/13/2020 17:17:04","INAP","NAACP Thirty Years of Lynching covers the years 1889-1918, with 1919 in appendix","INAP",NA,"19 year-old Michael Donald was chosen at random by two members (Henry Hays, 25, and James L. “Tiger” Knowles, 17) of the United Klans of America in order to make a statement about white supremacy. He was taken into the county side beaten with a tree limb, strangled, and had his throat cut, and then hanged his body from a tree on Herndon St. in a black-white neighborhood of Mobile, across from a house owned by Bennie Jack Hays, Henry Hays’ father. In 1983 Hays and Knowles were arrested and tried: Hays was sentenced to death (electrocuted in 1997) and Knowles to life in prison but paroled in 2010. In 1989, Benjamin Frank Cox, 28, was convicted for being an accomplice to the homicide and sentenced to life in prison. Bennie Jack Hays was indicted for inciting the murder and his first trial ended in a mistrial and before he could be retried, he died of an heart attack. Beulah Mae Donald and the Southern Poverty Law Center sued the UKA in 1984 for “wrongful death” and in 1987 she was awarded seven million dollars, which they didn’t have; it did bankrupt the UKA and she received $51,875 from the sales of the UKA’s headquarters building.

Note: this lynching is well covered in the newspapers and other sources.
","INAP",NA,"INAP",NA,"Outside of Mobile","5","Body hanged for display",NA,"No indication of being a stranger or marginalized",NA,"Original Tolnay-Beck inventory covers the years 1882-1930","Beaten","1","Montgomery Advertiser 3/23/1981, p. 13 (Newspapers.com)
Anniston Star 5/26/1983, p. 29 (Newspapers.com)
Anniston Star 6/17/1983, p. 1 (Newspapers.com)
Montgomery Alabama Journal 6/17/1983, p. 4 (Newspapers.com)
Montgomery Alabama Journal 3/15/1985, p. 2 (Newspapers.com)","Yes","INAP","lynching","1980"
"6",6,"Lynching",1971,5,25,"Jo-Etha Collier","Etha Collier",NA,NA,"1 of 1","Black","Female","18",28133,"Sunflower","MS",28133,"Sunflower","MS","Shot","Race hatred","10","3",1,NA,"INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918",NA,"05/13/2011",NA,"Williams inventory covers the years 1882-1964","EJI inventory covers the years 1877-1950",0,"INAP","04/29/2020 10:19:36","INAP",NA,"INAP",NA,"The Democrat-Times has a strong editorial against the killing of Collier. She was shot by three white men while she was in front of a small grocery store—one of the men was from Sunflower Co., while the other two were from Memphis, according to the Leader. From the Journal, “Drew, Miss. (UPI)—Black leaders called today for ‘vigorous prosecution’ of three white men charged with the apparent random slaying of a young Negro girl who had just graduated with honors from an integrated high school. The killing of Jo Etha Collier, 18, in front of a small grocery Tuesday night set off black demonstrations that brought state troopers into the town of 3,000 on the Mississippi Delta.” Apparently the three young white men (two from Sunflower Co. and their cousin from Memphis), decided to shoot into a group of young blacks and one of their bullets killed Jo-Etha Collier.","Jo-Etha Collier, 5/25/1971, Drew, Sunflower Co., Black Female, Unknown offense",NA,"INAP",NA,"Drew","0","None reported",NA,"No indication of being a stranger or marginalized. Had just graduated from Drew High School.","Night","Original Tolnay-Beck inventory covers the years 1882-1930","None reported","0","Greenville Delta Democrat-Times 5/27/1971, p. 4 (NewspaperArchive.com)
Ruston (LA) Daily Leader 5/27/1971, p. 3 (NewspaperArchive.com)
Marietta (GA) Journal 5/27/1971, p. 19 (GenealogyBank.com)
Mobile (AL) Register 5/28/1971, p. 17 (GenealogyBank.com)","Yes","INAP","lynching","1970"
"7",7,"Lynching",1970,4,11,"Rainey Pool",NA,NA,NA,"1 of 1","Black","Male","54",28053,"Humphreys","MS",28053,"Humphreys","MS","Shot","Unknown","16","5-8",1,NA,"INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918",NA,"05/13/2011",NA,"Williams inventory covers the years 1882-1964","EJI inventory covers the years 1877-1950",1,"INAP","04/29/2020 10:23:05","INAP",NA,"INAP",NA,"The 4/15 Democrat-Times reports that Pool’s body was found in the “Sunflower River near a bridge on Miss. 14, between Louise and Anguilla.” Two white men have been arrested. The 4/16 edition states that Pool “was beaten and shot to death at McMerchants Cafe in Louise” on Saturday [11th] night. His body was then carried into Sharkey Co. and dumped into Sunflower river. “It was reported that five to eight white men did the job on this one-arm black.”","Rainey Pool, 4/12/1970, Louise, Black Male, Unknown offense",NA,"INAP",NA,"Bridge on Miss. 14 between Louise and Anguilla","3","Body dumped into river",NA,"No indication of being a stranger or marginalized. A farm worker with one arm.","Night","Original Tolnay-Beck inventory covers the years 1882-1930","Beaten","1","Greenville Delta Democrat-Times 4/15/1970, p. 1 (NewspaperArchive.com)
Greenville Delta Democrat-Times 4/16/1970, p. 11 (NewspaperArchive.com)","Yes","INAP","lynching","1970"
"8",8,"Lynching",1967,2,27,"Wharlest Jackson","Wariest Jackson",NA,NA,"1 of 1","Black","Male","37",28001,"Adams","MS",28001,"Adams","MS","Trauma from a bomb blast","Civil rights activities and moving into a job formerly held by a white man","9",NA,0,NA,"INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918",NA,"05/13/2011",NA,"Williams inventory covers the years 1882-1964","EJI inventory covers the years 1877-1950",0,"INAP","04/29/2020 10:19:36","INAP",NA,"INAP",NA,"The Capital reports that Wharlest Jackson, 36, and father of six, was killed when his truck exploded as he drove home from work. The city of Natchez has offered a $25,000 reward. “The victim had been given a job last week formerly held by white men.” This same report appeared in many newspapers. According to the Democrat-Times, Jackson, 37, was a civil rights leader. The 3/1 edition states that Natchez blacks charge that the ku klux klan bombed Jackson’s truck.","Wharlest Jackson, 2/27/1967, Natchez, Adams Co.. Black Male, Job promotion","Julius E. Thompson, Lynchings in Mississippi: A History, 1865-1965, 2007, p. 160: Feb. 18, 1965, Wharlest Jackson, Natchez, Adams Co., NAACP treasurer killed by bomb","INAP",NA,"Natchez","0","None reported",NA,"No indication of being a stranger or marginalized",NA,"Original Tolnay-Beck inventory covers the years 1882-1930","None reported","0","Annapolis (MD) Capital 2/28/1967, p. 1, 5 (NewspaperArchive.com)
Greenville Delta Democrat-Times 2/28/1967, p. 1 (NewspaperArchive.com)
Greenville Delta Democrat-Times 3/1/1967, p. 1 (NewspaperArchive.com)","Yes","INAP","lynching","1960"
"9",9,"Lynching",1966,1,10,"Vernon Dahmer",NA,NA,NA,"1 of 1","Black","Male","58",28035,"Forrest","MS",28035,"Forrest","MS","Firebombed","Civil rights activities","9","14",2,NA,"INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918","Ku klux","05/13/2011",NA,"Williams inventory covers the years 1882-1964","EJI inventory covers the years 1877-1950",0,"INAP","04/29/2020 10:19:36","INAP","Vernon Dahmer, 1/10/1966, Negro, Hattiesburg, Home firebombed, Civil rights activities","INAP",NA,"The 1/12 Democrat-Times reports that Dahmer died from burns “... received when nightriders hurled ‘Molotov cocktails’ into his two-story home and grocery in the Kelly community near here [Hattiesburg].” The 6/20 Democrat-Times states that the grand jury will be hearing evidence against 14 klansmen charged in the Dahmer lynching—the names of the 14 and their ages are reported.","Vernon Dahmer, 1/10/1966, Hattiesburg, Forrest Co., Black Male, Voting rights","Julius E. Thompson, Lynchings in Mississippi: A History, 1865-1965, 2007, p. 182: Jan. 10, 1966, Vernon F. Dahmer, Hattiesburg, Forrest Co., Killed in home bombing by klan","INAP",NA,"Kelly community near Hattiesburg","0","None reported",NA,"No indication of being a stranger or marginalized. Former branch president of the NAACP.","Night","Original Tolnay-Beck inventory covers the years 1882-1930","None reported","0","Greenville Delta Democrat-Times 1/12/1966, p. 2 (NewspaperArchive.com)
Greenville Delta Democrat-Times 6/20/1966, p. 3 (NewspaperArchive.com)","Yes","INAP","lynching","1960"
"10",10,"Lynching",1966,6,10,"Ben Chester White",NA,NA,NA,"1 of 1","Black","Male","65",28001,"Adams","MS",28001,"Adams","MS","Riddled with bullets","Race hatred","10","3",1,NA,"INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918","Ku klux","05/13/2011",NA,"Williams inventory covers the years 1882-1964","EJI inventory covers the years 1877-1950",0,"INAP","04/29/2020 10:19:36","INAP",NA,"INAP",NA,"From the Times, “Natchez, Miss. (AP)—Three white men charged with murdering a Negro man, whose body was found in a creek near here, have been taken to state police headquarters for lie detector tests.” The three men, whose names are listed, were all papermill workers and either past or present members of the KKK. “Authorities charged the three with the fatal shooting of Ben Chester White, 65, in Kingston [Adams Co.], June 10. White’s body was found three days ago in Pretty Creek. He had been shot 16 times in the chest and arms with a rifle ... and his head had been partially blown away by a shotgun blast.” The same story appears in the News and Gazette. From the Times-Picayune, “Natchez, Miss. (AP)—Sheriff Odell Andrews Tuesday night charged three white men with murder in the death of a 65-year-old Negro whose bullet-riddled body was found in a creek two days ago. Two of the men were listed earlier this year by the House Un-American Activities Committee as past or present members of either the White Knights of the Ku Klux Klan of Mississippi or the United Klans of America. ... [Names and ages of the three men] ... Andrews said Ben Chester White was shot to death June 10 in the Kingston community near Natchez. His body was found two days later in Pretty Creek. White had been shot 16 times in the chest and the arms with a rifle, said the sheriff. In addition, the head had been partially blown away by a shotgun.”","Ben Chester White, 6/10/1966, Natchez, Adams Co., Black Male, Victim-KKK plan to lure King","Julius E. Thompson, Lynchings in Mississippi: A History, 1865-1965, 2007, p. 182: June 12, 1966, Ben Chester White, 65, Natchez, Adams Co., Body found in creek","INAP",NA,"Near Kingston","3","Body dumped into creek",NA,"No indication of being a stranger or marginalized",NA,"Original Tolnay-Beck inventory covers the years 1882-1930","None reported","0","Manitowoc (WI) Herald Times 6/14/1966, p. 21 (NewspaperArchive.com)
Blytheville (AR) Courier News 6/15/1966, p. 1 (NewspaperArchive.com)
Gastonia (NC) Gazette 6/15/1966, p. 1 (NewspaperArchive.com)
New Orleans (LA) Times-Picayune 6/15/1966, p. 1 (GenealogyBank.com)","Yes","INAP","lynching","1960"
