"","...1","...2","file_id","date","newspaper_name","newspaper_city","newspaper_state","URL","sn","year","month","day","edition","news_address","has_article_highlights","last_modified","num_annotations","flag_irrelevant","flag_bad_layout","flag_other","last_modified_by","last_modified_by_name","newspaper_state_clean"
"1",1,1,0,1893-12-11,"Alexandria gazette","Alexandria","D.C","https://articleextractor.org/pages//0/vi_quartz_ver01/sn85025007/1893/12/11/ed-1/seq-2/0?user_id=6","sn85025007",1893,"12","11","ed-1","Alexandria,  D.C",0,2023-07-31 20:06:24,0,0,1,0,6,"Rob Wells","DC"
"2",2,2,1,1898-03-29,"Willmar tribune","Willmar","Minn","https://articleextractor.org/pages//1/mnhi_edsel_ver01/sn89081022/1898/03/29/ed-1/seq-2/0?user_id=6","sn89081022",1898,"03","29","ed-1","Willmar,  Minn",0,2023-01-23 21:02:58,1,0,0,0,0,"null","MN"
"3",3,3,2,1898-11-09,"The Saint Paul globe.","St. Paul","Minn","https://articleextractor.org/pages//2/mnhi_hallock_ver01/sn90059523/1898/11/09/ed-1/seq-6/0?user_id=6","sn90059523",1898,"11","09","ed-1","St. Paul,  Minn",0,2023-01-23 21:02:58,1,0,0,0,0,"null","MN"
"4",4,4,3,1898-01-05,"Arizona republican","Phoenix","Ariz","https://articleextractor.org/pages//3/az_elk_ver01/sn84020558/1898/01/05/ed-1/seq-1/0?user_id=6","sn84020558",1898,"01","05","ed-1","Phoenix,  Ariz",0,2023-01-23 21:02:58,1,0,0,0,0,"null","AZ"
"5",5,5,4,1898-05-26,"The Wichita daily eagle","Wichita","Kan","https://articleextractor.org/pages//4/khi_kurtis_ver01/sn82014635/1898/05/26/ed-1/seq-2/0?user_id=6","sn82014635",1898,"05","26","ed-1","Wichita,  Kan",0,2023-01-23 21:02:58,1,0,0,0,0,"null","KS"
"6",6,6,5,1898-12-31,"The times","Washington",NA,"https://articleextractor.org/pages//5/dlc_harry_ver01/sn85054468/1898/12/31/ed-1/seq-3/0?user_id=6","sn85054468",1898,"12","31","ed-1","Washington , NA",0,2023-08-09 14:55:22,0,1,0,0,9,"Generic User 3",NA
"7",7,7,6,1898-01-08,"Macon beacon","Macon","Miss","https://articleextractor.org/pages//6/msar_applejack_ver01/sn83016943/1898/01/08/ed-1/seq-1/0?user_id=6","sn83016943",1898,"01","08","ed-1","Macon,  Miss",0,2023-01-23 21:02:58,1,0,0,0,0,"null","MS"
"8",8,8,7,1898-05-05,"The Topeka state journal","Topeka","Kansa","https://articleextractor.org/pages//7/khi_jesse_ver01/sn82016014/1898/05/05/ed-1/seq-2/0?user_id=6","sn82016014",1898,"05","05","ed-1","Topeka,  Kansa",0,2023-08-09 15:13:44,0,1,0,0,9,"Generic User 3","KS"
"9",9,9,8,1899-07-21,"The Chanute times","Chanute","Kan","https://articleextractor.org/pages//8/khi_isabel_ver01/sn85030529/1899/07/21/ed-1/seq-2/0?user_id=6","sn85030529",1899,"07","21","ed-1","Chanute,  Kan",0,2023-01-23 21:02:58,1,0,0,0,0,"null","KS"
"10",10,10,9,1899-03-24,"The Wichita daily eagle","Wichita","Kan","https://articleextractor.org/pages//9/khi_kurtis_ver01/sn82014635/1899/03/24/ed-1/seq-1/0?user_id=6","sn82014635",1899,"03","24","ed-1","Wichita,  Kan",0,2023-01-23 21:02:58,2,0,0,0,0,"null","KS"
"11",11,11,10,1899-06-30,"The Newtown bee.","Newtown","Conn","https://articleextractor.org/pages//10/ct_maple_ver01/sn92051487/1899/06/30/ed-1/seq-9/0?user_id=6","sn92051487",1899,"06","30","ed-1","Newtown,  Conn",0,2023-08-09 15:30:19,0,1,0,0,9,"Generic User 3","CT"
"12",12,12,11,1899-05-29,"The times","Washington",NA,"https://articleextractor.org/pages//11/dlc_franklin_ver01/sn85054468/1899/05/29/ed-1/seq-4/0?user_id=6","sn85054468",1899,"05","29","ed-1","Washington , NA",0,2023-08-09 15:31:21,0,1,0,0,9,"Generic User 3",NA
"13",13,13,12,1899-06-15,"The news & observer","Raleigh","N.C","https://articleextractor.org/pages//12/ncu_griffin_ver01/sn85042104/1899/06/15/ed-1/seq-2/0?user_id=6","sn85042104",1899,"06","15","ed-1","Raleigh,  N.C",0,2023-01-23 21:02:58,1,0,0,0,0,"null","NC"
"14",14,14,13,1899-03-25,"Daily Kennebec journal","Augusta","Me","https://articleextractor.org/pages//13/me_jackman_ver02/sn82014248/1899/03/25/ed-1/seq-6/0?user_id=6","sn82014248",1899,"03","25","ed-1","Augusta,  Me",0,2023-01-23 21:02:58,1,0,0,0,0,"null","ME"
"15",15,15,14,1899-07-27,"The Daily Ardmoreite","Ardmore","Okla","https://articleextractor.org/pages//14/okhi_avocado_ver01/sn85042303/1899/07/27/ed-1/seq-1/0?user_id=6","sn85042303",1899,"07","27","ed-1","Ardmore,  Okla",0,2023-01-23 21:02:58,1,0,0,0,0,"null","OK"
"16",16,16,15,1898-09-17,"Richmond planet","Richmond","Va","https://articleextractor.org/pages//15/vi_yes_ver01/sn84025841/1898/09/17/ed-1/seq-4/0?user_id=6","sn84025841",1898,"09","17","ed-1","Richmond,  Va",0,2023-01-23 21:02:58,2,0,0,0,0,"null","VA"
"17",17,17,16,1899-03-28,"The Pacific commercial advertiser","Honolulu","Hawaiian Island 1885-1921","https://articleextractor.org/pages//16/hihouml_desdemona_ver03/sn85047084/1899/03/28/ed-1/seq-1/0?user_id=6","sn85047084",1899,"03","28","ed-1","Honolulu,  Hawaiian Island 1885-1921",0,2023-08-09 18:05:13,0,1,0,0,9,"Generic User 3","HI"
"18",18,18,17,1899-05-23,"El Paso daily herald.","El Paso","Tex","https://articleextractor.org/pages//17/txdn_gmc_ver02/sn86064199/1899/05/23/ed-1/seq-1/0?user_id=6","sn86064199",1899,"05","23","ed-1","El Paso,  Tex",0,2023-01-23 21:02:58,2,0,0,0,0,"null","TX"
"19",19,19,18,1898-12-09,"The semi-weekly messenger","Wilmington","N.C","https://articleextractor.org/pages//18/ncu_green_ver01/sn91068367/1898/12/09/ed-1/seq-8/0?user_id=6","sn91068367",1898,"12","09","ed-1","Wilmington,  N.C",0,2023-01-23 21:02:58,1,0,0,0,0,"null","NC"
"20",20,20,19,1899-01-11,"The leader","Brookhaven","Mis","https://articleextractor.org/pages//19/msar_agate_ver01/sn86074063/1899/01/11/ed-1/seq-2/0?user_id=6","sn86074063",1899,"01","11","ed-1","Brookhaven,  Mis",0,2023-01-23 21:02:58,1,0,0,0,0,"null","MS"
"21",21,21,20,1899-05-24,"The Portland daily press","Portland","Me","https://articleextractor.org/pages//20/me_jonesport_ver02/sn83016025/1899/05/24/ed-1/seq-2/0?user_id=6","sn83016025",1899,"05","24","ed-1","Portland,  Me",0,2023-01-23 21:02:58,1,0,0,0,0,"null","ME"
"22",22,22,21,1898-05-07,"The Grenada sentinel","Grenada","Miss","https://articleextractor.org/pages//21/msar_eyelet_ver02/sn85034375/1898/05/07/ed-1/seq-4/0?user_id=6","sn85034375",1898,"05","07","ed-1","Grenada,  Miss",0,2023-01-23 21:02:58,1,0,0,0,0,"null","MS"
"23",23,23,22,1899-08-08,"Little Falls weekly transcript.","Little Falls","M","https://articleextractor.org/pages//22/mnhi_neon_ver01/sn89064526/1899/08/08/ed-1/seq-8/0?user_id=6","sn89064526",1899,"08","08","ed-1","Little Falls,  M",0,2023-01-23 21:02:58,1,0,0,0,0,"null","MN"
"24",24,24,23,1898-06-06,"Barre evening telegram.","Barre","Vt","https://articleextractor.org/pages//23/vtu_green_ver02/sn98060035/1898/06/06/ed-1/seq-1/0?user_id=6","sn98060035",1898,"06","06","ed-1","Barre,  Vt",0,2023-01-23 21:02:58,1,0,0,0,0,"null","VT"
"25",25,25,24,1899-07-11,"The Madison daily leader","Madison","S.D","https://articleextractor.org/pages//24/sdhi_eigg_ver01/sn99062034/1899/07/11/ed-1/seq-4/0?user_id=6","sn99062034",1899,"07","11","ed-1","Madison,  S.D",0,2023-01-23 21:02:58,1,0,0,0,0,"null","SD"
